Teams,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Arsenal,200,333,485,402,301,157,84,27,8,3,0,0,0,0,0,0,0,0,0,0
Leicester,0,0,1,2,2,14,42,82,130,148,170,182,179,176,175,183,171,133,125,85
Man United,145,291,412,503,340,177,80,29,12,6,3,0,2,0,0,0,0,0,0,0
QPR,0,0,0,1,0,2,5,9,17,28,46,63,107,111,123,162,215,295,324,492
Stoke,0,1,0,7,14,49,101,157,208,243,214,191,167,143,152,125,89,52,52,35
West Brom,0,0,1,0,4,22,55,90,130,140,172,177,168,189,159,169,158,146,107,113
West Ham,0,0,0,6,21,47,95,132,192,198,198,197,186,154,141,124,122,88,63,36
Liverpool,59,141,284,404,496,292,173,76,38,22,8,4,2,0,0,0,0,1,0,0
Newcastle,0,0,0,0,7,22,65,112,140,180,192,210,186,194,166,156,127,109,75,59
Burnley,0,0,0,0,0,1,2,18,25,34,49,88,100,137,169,174,225,268,333,377
Aston Villa,0,0,0,0,1,1,12,31,48,80,103,110,146,154,180,203,195,226,262,248
Chelsea,873,636,267,149,46,25,2,1,1,0,0,0,0,0,0,0,0,0,0,0
Crystal Palace,0,0,0,1,5,13,34,42,96,106,147,169,185,173,198,170,204,179,156,122
Everton,2,8,26,65,142,313,350,347,246,154,113,82,54,38,20,18,14,4,4,0
Southampton,7,16,75,123,256,409,390,308,157,108,61,32,21,17,10,5,5,0,0,0
Swansea,0,1,1,7,19,56,118,160,214,239,240,203,164,165,145,84,79,49,37,19
Hull,0,1,0,0,2,13,19,49,67,105,105,130,163,178,168,224,179,248,198,151
Sunderland,0,0,0,0,2,6,8,39,62,83,99,112,124,152,181,194,213,200,263,262
Tottenham,7,15,42,137,258,344,352,289,209,122,80,50,46,19,13,9,4,2,1,1
Man City,707,557,406,193,84,37,13,2,0,1,0,0,0,0,0,0,0,0,0,0
