Teams,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Sampdoria,0,0,1,2,6,30,54,90,148,132,176,179,196,178,166,134,166,131,119,92
Verona,0,0,0,3,6,23,52,71,117,125,151,196,177,194,197,181,151,138,125,93
Cagliari,0,0,1,0,6,24,57,84,133,144,156,166,200,183,161,161,166,145,120,93
Inter,31,168,281,356,415,292,201,121,59,32,21,9,4,5,2,1,1,1,0,0
Lazio,2,23,75,134,201,315,348,284,197,142,99,65,42,25,24,13,5,4,2,0
Livorno,0,0,0,1,0,2,2,4,11,32,35,61,90,96,124,167,223,262,345,545
Napoli,143,473,509,400,212,144,54,45,14,4,0,2,0,0,0,0,0,0,0,0
Parma,0,10,20,63,96,175,255,294,265,214,170,124,95,73,53,39,18,22,8,6
Torino,0,0,1,16,31,77,146,204,214,258,227,211,155,115,112,91,57,37,30,18
Fiorentina,17,81,160,275,364,381,271,193,118,63,33,15,12,8,3,3,1,2,0,0
Chievo,0,0,0,2,6,6,32,50,76,119,132,125,154,170,174,195,209,198,183,169
Juventus,1511,328,112,36,9,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Atalanta,0,0,0,1,8,22,46,63,109,142,169,175,162,207,190,182,158,148,128,90
Bologna,0,0,0,0,1,3,11,38,62,94,123,136,155,172,204,200,201,194,207,199
Catania,0,0,0,0,4,7,23,40,52,91,96,124,167,157,201,217,212,209,223,177
Genoa,0,0,0,3,3,10,34,49,84,115,121,149,141,169,166,170,204,207,195,180
Milan,55,244,343,415,397,244,158,76,34,21,6,2,3,1,0,1,0,0,0,0
Roma,241,671,483,267,164,110,38,13,6,5,1,1,0,0,0,0,0,0,0,0
Sassuolo,0,0,0,1,0,7,4,18,39,59,82,107,125,139,148,189,190,274,292,326
Udinese,0,2,14,25,71,125,213,263,262,208,202,153,122,108,75,56,38,28,23,12
