Teams,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Liverpool,456,1287,193,43,14,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Ham,0,0,1,1,3,9,35,57,97,152,161,184,205,208,194,204,161,146,111,71
Bournemouth,0,0,0,1,1,3,8,17,29,88,99,151,147,180,198,196,228,241,222,191
Burnley,0,0,0,2,0,6,10,31,69,91,131,159,187,196,205,211,213,193,159,137
Crystal Palace,0,0,0,0,1,3,4,25,41,80,111,148,153,185,203,212,227,220,216,171
Watford,0,0,0,3,5,21,31,80,138,188,217,220,232,166,172,163,132,102,78,52
Tottenham,2,22,209,409,392,356,278,167,85,37,23,12,3,1,2,1,0,1,0,0
Leicester,2,11,154,262,334,377,329,226,132,79,47,22,10,6,5,3,0,1,0,0
Newcastle,0,0,0,0,0,1,2,4,19,45,53,66,95,120,163,186,230,298,315,403
Man United,2,54,379,466,417,298,199,96,56,16,11,4,1,0,0,1,0,0,0,0
Arsenal,1,10,146,208,314,354,355,246,169,80,56,24,13,11,7,2,3,1,0,0
Aston Villa,0,0,0,0,0,4,8,12,31,61,77,93,124,165,181,209,247,257,268,263
Brighton,0,0,1,1,6,19,46,104,150,173,196,232,197,200,167,141,145,96,73,53
Everton,0,1,21,50,100,152,226,333,325,251,172,109,100,66,37,25,17,6,8,1
Norwich,0,0,0,0,0,0,1,2,15,19,31,49,80,86,116,164,173,254,419,591
Southampton,0,0,1,4,16,36,68,119,194,207,230,223,182,187,140,127,101,70,57,38
Man City,1520,440,36,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sheffield United,0,0,0,4,8,21,49,91,141,216,254,194,196,182,181,142,114,107,71,29
Chelsea,17,172,834,467,264,122,75,27,14,3,2,1,2,0,0,0,0,0,0,0
Wolves,0,3,25,77,123,211,276,363,295,214,129,109,73,41,29,13,9,7,3,0
