Teams,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Bournemouth,0,0,0,1,0,0,5,3,2,4,8,7,6,5,4,0,2,1,2,0
Chelsea,1,4,17,10,6,6,2,3,1,0,0,0,0,0,0,0,0,0,0,0
Everton,0,0,2,1,4,4,6,8,6,3,4,5,0,0,1,3,3,0,0,0
Leicester,0,0,1,3,0,7,3,5,5,6,7,4,2,0,3,3,0,0,1,0
Man United,5,6,8,3,12,5,6,3,2,0,0,0,0,0,0,0,0,0,0,0
Norwich,0,0,0,0,0,0,0,1,3,5,3,3,5,6,4,3,3,7,5,2
Arsenal,19,13,8,4,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Newcastle,0,0,0,0,0,0,1,1,2,2,2,3,6,3,2,3,8,7,6,4
Stoke,0,0,0,0,1,2,0,2,4,5,2,3,9,6,4,7,2,1,0,2
West Brom,0,0,0,0,0,0,1,1,0,0,0,1,4,4,9,3,5,9,9,4
Aston Villa,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,4,6,4,11,22
Southampton,1,1,1,3,8,5,9,7,4,5,4,0,2,0,0,0,0,0,0,0
Sunderland,0,0,0,0,0,0,0,0,1,1,3,1,0,4,5,1,6,8,8,12
Swansea,0,0,0,0,0,1,2,4,2,8,4,6,5,7,3,4,1,1,1,1
Tottenham,2,2,4,11,8,8,6,2,3,2,0,1,1,0,0,0,0,0,0,0
Watford,0,0,0,0,0,0,1,3,2,1,3,6,4,3,5,5,4,6,5,2
West Ham,0,0,0,0,0,2,1,1,5,0,4,5,5,5,4,6,7,4,1,0
Crystal Palace,0,0,0,1,1,2,1,0,3,7,4,4,1,5,6,8,3,2,1,1
Man City,22,20,2,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Liverpool,0,4,7,9,8,5,3,5,5,1,1,1,0,1,0,0,0,0,0,0
