Teams,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Nantes,2,11,17,24,30,41,51,65,70,83,98,110,126,165,155,182,166,205,208,191
Auxerre,4,54,88,128,119,151,135,157,146,153,145,129,117,121,101,70,80,49,29,24
Bordeaux,42,258,234,226,210,171,159,112,135,103,85,56,53,48,37,23,29,14,3,2
Le Mans,2,14,30,45,53,86,74,111,98,131,118,124,141,149,166,131,161,132,121,113
Lens,37,269,280,256,174,199,152,142,114,93,62,57,42,36,31,23,13,11,9,0
Nancy,0,18,46,58,71,88,114,121,112,122,135,149,146,147,140,149,112,116,93,63
Paris SG,25,170,196,219,227,188,163,153,124,110,89,80,75,50,41,32,27,16,10,5
Rennes,5,51,70,81,117,108,128,122,139,152,170,137,124,125,134,109,95,64,42,27
St Etienne,2,55,90,123,111,148,161,150,154,135,129,135,121,115,114,88,68,40,38,23
Sedan,0,0,5,3,9,19,27,25,37,48,61,62,113,90,141,167,217,247,339,390
Lille,51,255,248,230,209,156,155,137,108,94,91,74,43,38,31,31,24,13,8,4
Lorient,0,3,7,17,25,26,40,43,63,64,89,102,150,156,167,178,184,233,230,223
Lyon,1725,199,54,13,4,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0
Marseille,83,470,343,238,212,156,126,88,67,66,37,36,23,18,16,9,3,8,1,0
Monaco,11,82,128,144,173,170,155,144,153,146,151,117,92,69,78,61,61,38,21,6
Nice,0,16,28,39,44,41,63,91,100,127,110,137,152,173,145,166,167,146,132,123
Sochaux,5,30,68,75,93,118,130,127,148,132,140,138,132,129,122,112,98,104,58,41
Troyes,0,3,3,5,9,17,26,39,47,49,59,96,103,110,123,157,192,246,310,406
Valenciennes,0,5,2,8,22,28,32,47,49,77,109,88,99,125,144,182,196,220,259,308
Toulouse,6,37,63,68,88,87,107,125,136,115,122,173,148,136,114,130,107,98,89,51
