Teams,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Bordeaux,91,369,320,251,175,168,127,91,80,83,52,46,31,42,25,22,13,10,2,2
Caen,1,5,11,19,20,33,48,44,73,72,86,112,132,153,152,189,178,207,258,207
Lille,15,86,124,156,140,137,142,125,142,114,151,128,94,102,87,71,66,49,46,25
Monaco,18,80,112,131,152,147,168,134,127,138,125,111,96,89,77,71,80,72,53,19
Paris SG,31,199,224,226,202,165,164,114,113,121,93,92,67,48,34,41,30,24,11,1
Rennes,16,70,109,122,134,127,128,163,139,122,136,119,127,99,80,93,85,63,42,26
Strasbourg,1,1,9,13,33,39,43,66,58,76,94,88,104,144,178,183,207,227,284,152
Valenciennes,1,15,21,36,44,69,85,75,104,115,105,127,134,143,167,159,164,174,168,94
Le Mans,5,33,51,71,90,101,107,133,118,138,163,132,146,139,132,125,112,104,67,33
Lyon,1630,246,67,29,11,7,5,2,1,0,1,1,0,0,0,0,0,0,0,0
Auxerre,2,31,47,73,60,96,100,109,133,121,110,134,133,156,129,142,134,131,100,59
Lorient,0,14,29,28,59,52,57,97,98,121,100,114,149,162,178,176,160,164,158,84
Marseille,133,492,357,242,175,153,113,82,61,38,42,22,32,18,13,12,8,4,1,2
Nancy,22,138,174,177,189,163,153,161,124,103,110,114,83,84,67,50,38,24,16,10
Nice,7,23,61,54,72,99,97,124,123,143,118,145,141,132,128,125,143,119,94,52
Sochaux,1,21,26,45,52,75,77,109,108,113,98,138,140,116,159,160,179,170,129,84
St Etienne,14,78,119,138,150,131,147,129,142,116,128,134,103,110,90,76,80,51,40,24
Toulouse,4,20,41,57,72,91,100,98,120,111,136,116,135,136,148,146,152,124,117,76
Lens,8,79,98,131,169,145,132,134,129,149,134,104,117,90,92,88,70,75,40,16
Metz,0,0,0,1,1,2,7,10,7,6,18,23,36,37,64,71,101,208,374,1034
