Teams,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Auxerre,0,4,10,18,35,47,85,102,124,128,138,161,148,138,143,161,161,163,141,93
Bordeaux,322,458,455,314,174,113,56,40,22,24,8,7,3,2,1,1,0,0,0,0
Le Havre,0,0,1,0,2,4,7,13,16,21,26,47,50,66,95,119,172,242,368,751
Le Mans,1,2,21,36,63,75,102,135,124,140,145,155,158,157,140,127,130,123,113,53
Monaco,1,3,11,38,43,96,138,141,121,134,143,167,147,133,130,167,123,138,94,32
Nancy,3,13,31,48,59,92,116,143,170,146,170,149,155,136,117,146,110,89,67,40
Rennes,21,95,137,214,255,254,214,184,134,107,95,78,66,48,33,25,25,10,2,3
Sochaux,2,1,10,22,42,77,87,115,132,158,156,154,171,157,155,136,120,129,106,70
Valenciennes,0,0,3,3,8,29,31,54,58,92,106,117,107,159,193,162,213,203,224,238
Lyon,1071,468,251,111,47,25,14,8,2,1,0,0,1,1,0,0,0,0,0,0
Caen,1,4,2,18,33,41,66,85,111,104,114,131,145,141,188,173,154,191,167,131
Lille,60,143,218,285,324,229,193,146,126,68,65,40,37,33,9,9,7,5,2,1
Nantes,0,5,4,8,25,39,56,48,98,94,120,119,146,163,183,194,194,171,191,142
Nice,3,8,19,54,69,108,108,138,148,175,157,130,141,157,133,122,110,90,83,47
Paris SG,90,201,270,345,308,208,169,121,93,73,30,32,21,10,12,10,5,2,0,0
St Etienne,4,25,58,102,143,198,184,183,164,161,137,148,116,109,70,78,50,37,24,9
Toulouse,5,29,57,103,162,173,203,177,168,145,161,114,125,95,82,67,53,40,23,18
Grenoble,0,2,2,8,15,27,29,43,61,84,90,98,115,149,159,165,191,228,267,267
Lorient,0,3,10,16,40,74,102,92,109,137,134,148,144,143,156,138,182,139,128,105
Marseille,416,536,430,257,153,91,40,32,19,8,5,5,4,3,1,0,0,0,0,0
