Teams,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Auxerre,1,10,35,68,104,128,154,162,151,155,147,143,142,139,134,102,90,64,61,10
Lens,0,2,2,12,18,38,56,63,73,85,104,141,137,142,163,235,199,246,237,47
Lyon,587,501,345,255,133,72,46,33,8,7,4,2,5,1,1,0,0,0,0,0
Marseille,552,473,363,252,137,88,47,32,15,15,11,7,5,2,1,0,0,0,0,0
Nice,1,2,3,5,15,36,44,63,72,86,90,110,138,138,147,194,230,247,325,54
Paris SG,243,315,377,357,237,154,102,57,55,29,20,20,12,4,8,7,3,0,0,0
Rennes,33,75,128,185,238,252,214,182,128,132,84,80,68,52,49,35,31,21,12,1
Sochaux,0,2,10,14,48,72,98,115,130,136,143,132,143,158,171,163,142,145,140,38
Toulouse,6,16,38,67,105,140,143,158,192,153,159,161,124,117,105,94,94,69,57,2
Montpellier,6,14,25,53,78,124,114,169,131,127,165,152,151,144,124,120,119,95,82,7
Arles,0,0,0,0,0,0,0,2,0,0,2,3,5,5,9,17,48,73,179,1657
Bordeaux,61,129,181,235,277,273,200,131,135,86,85,41,51,40,24,18,16,11,6,0
Brest,1,3,4,10,30,38,66,73,79,108,119,119,125,167,174,173,212,236,220,43
Caen,2,2,6,20,41,42,56,81,84,124,137,139,147,156,164,193,181,199,184,42
Lille,497,416,383,269,179,93,64,41,19,16,8,5,8,2,0,0,0,0,0,0
Lorient,1,12,29,36,79,111,154,155,167,146,140,159,155,141,119,107,102,103,70,14
Nancy,1,3,7,29,44,62,95,98,113,121,139,150,156,149,175,146,177,156,147,32
St Etienne,4,12,34,47,102,116,136,141,162,172,141,143,141,150,138,113,93,87,60,8
Valenciennes,0,5,15,37,56,68,93,92,139,155,136,148,153,136,171,147,143,135,144,27
Monaco,4,8,15,49,79,93,118,152,147,147,166,145,134,157,123,136,120,113,76,18
