Teams,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Necaxa,14,19,13,7,10,5,8,3,6,4,1,3,2,1,0,3,1,0,0,0
Guadalajara Chivas,0,1,4,2,4,4,6,9,6,13,5,8,12,2,9,8,3,4,0,0
Club Tijuana,7,5,5,13,10,6,5,6,9,6,6,5,5,5,6,1,0,0,0,0
Cruz Azul,0,0,0,1,0,0,0,1,5,5,3,6,4,6,9,18,25,17,0,0
U.N.A.M.- Pumas,5,6,8,9,6,10,10,12,5,5,9,3,5,3,1,3,0,0,0,0
Atl. San Luis,15,12,17,14,14,7,2,5,5,3,2,2,0,1,1,0,0,0,0,0
Pachuca,0,1,0,1,3,3,6,5,5,3,8,7,13,10,7,7,9,12,0,0
Mazatlan FC,14,13,10,9,10,7,6,7,8,8,4,2,0,1,1,0,0,0,0,0
Monterrey,0,0,0,0,0,1,2,1,0,3,4,5,5,12,15,7,21,24,0,0
Puebla,14,9,9,6,8,9,7,6,12,5,7,2,1,1,2,2,0,0,0,0
Juarez,19,16,13,14,4,12,6,1,2,4,3,2,1,2,1,0,0,0,0,0
U.A.N.L.- Tigres,0,0,0,0,0,1,2,3,3,3,5,3,8,8,11,17,16,20,0,0
Club America,0,1,1,1,2,2,4,5,7,11,10,6,10,11,11,8,3,7,0,0
Toluca,4,8,9,9,11,9,9,11,4,2,8,8,2,3,0,2,0,1,0,0
Queretaro,2,2,6,3,7,11,12,12,7,9,4,10,3,7,1,3,1,0,0,0
Santos Laguna,1,1,2,3,0,1,8,6,6,7,5,15,14,7,10,6,6,2,0,0
Atlas,5,6,3,6,11,11,7,6,8,5,10,6,3,4,4,1,3,1,0,0
Club Leon,0,0,0,2,0,1,0,1,2,4,6,7,12,16,11,14,12,12,0,0
