Teams,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Bayern Munich,1496,332,114,31,18,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0
FC Koln,0,0,1,3,9,29,36,67,70,87,139,157,181,206,239,236,279,261,0,0
Freiburg,0,0,3,6,11,19,25,38,73,91,120,137,147,191,242,250,300,347,0,0
Hamburg,16,91,197,263,265,246,204,159,144,117,85,72,45,43,29,13,5,6,0,0
Hannover,0,2,6,16,34,43,72,89,138,134,149,167,191,196,211,197,189,166,0,0
Hoffenheim,5,22,48,98,137,183,204,186,183,191,155,144,128,111,71,70,45,19,0,0
M'gladbach,0,0,4,6,21,32,41,84,104,111,152,163,177,205,238,220,219,223,0,0
Dortmund,270,723,453,242,124,67,52,36,18,9,1,1,2,1,0,0,1,0,0,0
Mainz,2,11,24,48,96,136,138,174,185,189,202,187,133,145,107,112,71,40,0,0
Kaiserslautern,0,1,3,13,17,36,61,77,102,135,149,170,183,203,211,205,219,215,0,0
Ein Frankfurt,1,2,9,24,52,73,94,117,147,174,181,174,203,175,165,167,143,99,0,0
Nurnberg,0,3,4,22,35,59,87,116,130,152,185,192,208,179,161,177,149,141,0,0
Schalke 04,17,73,183,237,265,262,227,179,152,119,85,79,50,26,22,15,6,3,0,0
St Pauli,0,1,0,2,5,12,28,30,47,68,84,106,141,186,222,277,332,459,0,0
Werder Bremen,12,85,193,268,267,230,200,206,125,119,88,75,59,24,15,17,12,5,0,0
Wolfsburg,10,54,149,222,244,209,232,185,176,135,114,75,72,49,37,18,13,6,0,0
Leverkusen,161,534,482,309,179,131,72,51,32,18,12,10,5,2,1,0,1,0,0,0
Stuttgart,10,66,127,190,221,226,225,206,174,151,99,91,75,58,29,26,16,10,0,0
