Teams,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Dortmund,493,1228,183,56,23,9,6,2,0,0,0,0,0,0,0,0,0,0,0,0
Augsburg,0,0,1,1,2,4,8,19,28,32,58,87,114,143,187,297,436,583,0,0
FC Koln,0,0,0,3,2,7,17,21,44,48,75,101,134,188,228,298,391,443,0,0
Hannover,0,3,45,76,75,112,131,162,181,206,181,174,178,153,117,95,78,33,0,0
Hertha,0,0,19,37,65,82,108,130,156,171,177,165,192,216,162,137,106,77,0,0
Stuttgart,2,27,223,253,269,234,227,169,135,127,97,82,51,30,37,20,12,5,0,0
Werder Bremen,1,41,192,217,257,228,215,185,152,118,116,85,66,49,41,23,10,4,0,0
Bayern Munich,1486,478,30,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mainz,1,5,38,79,102,144,195,187,185,203,170,168,151,111,110,76,48,27,0,0
Freiburg,0,0,2,6,11,22,31,44,54,69,95,136,159,215,255,263,298,340,0,0
Hamburg,0,5,44,76,95,132,149,173,189,149,192,176,143,133,141,96,73,34,0,0
Hoffenheim,1,5,58,97,123,154,157,168,190,190,174,159,147,128,96,80,40,33,0,0
M'gladbach,1,22,178,214,233,235,214,184,149,126,129,84,87,57,35,26,16,10,0,0
Nurnberg,0,4,20,51,72,80,108,122,126,182,156,181,183,187,190,157,113,68,0,0
Schalke 04,9,89,494,372,278,207,128,127,79,74,45,35,31,16,11,4,1,0,0,0
Wolfsburg,0,3,33,58,83,99,128,149,174,162,175,191,177,155,145,127,86,55,0,0
Kaiserslautern,0,0,3,14,13,23,33,50,58,72,108,142,169,209,232,297,290,287,0,0
Leverkusen,6,90,437,386,296,227,145,108,100,71,52,34,18,10,13,4,2,1,0,0
