Teams,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Man United,0,4,7,8,8,17,5,1,0,0,0,0,0,0,0,0,0,0,0,0
Bournemouth,0,0,0,0,0,0,1,2,8,9,5,1,7,2,6,3,3,2,1,0
Fulham,0,0,0,0,0,0,0,0,1,2,1,7,1,2,4,7,5,7,7,6
Huddersfield,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2,8,4,13,20
Newcastle,0,0,0,0,1,0,1,0,2,2,3,2,8,4,5,4,5,9,3,1
Watford,0,0,0,0,1,2,3,5,7,5,3,5,7,4,1,4,1,2,0,0
Wolves,0,0,0,2,0,3,5,13,9,6,5,0,2,4,0,1,0,0,0,0
Arsenal,0,2,5,3,18,11,6,3,0,1,1,0,0,0,0,0,0,0,0,0
Liverpool,6,26,15,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Southampton,0,0,0,0,1,0,3,5,2,4,2,8,6,3,4,4,4,3,1,0
Cardiff,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,4,5,8,11,14
Chelsea,1,12,11,16,6,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Everton,0,0,1,0,3,2,9,7,9,4,8,1,1,3,2,0,0,0,0,0
Leicester,0,0,0,0,0,1,9,5,6,8,6,8,3,2,1,1,0,0,0,0
Tottenham,0,2,8,19,10,7,2,1,1,0,0,0,0,0,0,0,0,0,0,0
West Ham,0,0,0,0,0,1,2,1,1,5,6,4,3,7,9,5,2,4,0,0
Brighton,0,0,0,0,0,0,0,3,2,2,1,5,2,7,5,11,5,2,4,1
Burnley,0,0,0,0,0,0,0,0,1,1,1,1,3,2,3,2,10,9,9,8
Man City,43,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crystal Palace,0,0,0,0,1,3,4,3,1,1,7,7,6,8,4,2,2,0,1,0
