Teams,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Nice,3,14,20,36,54,73,90,109,124,126,122,163,156,159,136,160,139,124,116,76
Bastia,0,5,19,17,25,34,44,65,98,95,113,147,148,150,163,191,184,214,179,109
Caen,4,7,15,25,26,43,58,70,77,63,78,119,109,138,169,178,218,225,229,149
Lille,75,152,197,205,223,176,142,154,124,117,94,69,66,69,43,29,34,17,10,4
Marseille,207,310,317,249,208,171,131,96,83,66,53,35,17,14,16,8,7,10,2,0
Metz,3,5,23,40,42,44,69,109,117,129,123,128,170,156,168,157,143,166,140,68
Rennes,11,31,57,84,104,128,139,109,158,137,161,133,154,145,100,103,91,73,56,26
Sochaux,24,67,100,128,139,146,174,161,148,143,126,113,126,96,74,78,59,51,36,11
St Etienne,7,15,20,37,65,69,89,106,103,130,118,148,170,168,160,155,154,138,99,49
Toulouse,10,15,37,68,79,83,106,116,138,132,168,143,149,134,154,159,112,88,70,39
Ajaccio,1,1,2,12,18,28,20,47,46,61,77,100,117,150,163,188,224,224,277,244
Auxerre,100,144,206,196,206,197,189,149,107,118,72,61,68,53,48,27,32,18,7,2
Bordeaux,32,96,112,137,156,179,169,148,131,167,131,115,75,86,80,60,55,39,21,11
Lens,13,40,50,98,85,124,145,147,167,149,151,136,140,109,133,103,82,66,33,29
Lyon,914,442,221,138,105,63,40,28,21,12,10,2,0,2,2,0,0,0,0,0
Monaco,466,425,324,207,163,90,86,67,51,34,33,24,6,14,3,2,2,1,2,0
Nantes,16,31,48,83,81,106,112,134,134,134,153,154,139,135,126,111,96,93,79,35
Paris SG,114,198,225,220,199,214,160,135,125,88,88,70,41,33,36,22,13,15,4,0
Strasbourg,0,2,7,19,20,31,33,45,44,87,111,107,100,140,167,193,210,244,262,178
Istres,0,0,0,1,2,1,4,5,4,12,18,33,49,49,59,76,145,194,378,970
