Teams,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Bayern Munich,1820,176,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Augsburg,0,4,59,114,163,199,196,179,193,183,157,159,117,97,76,57,27,20,0,0
Braunschweig,0,0,0,2,2,3,5,7,10,18,27,39,72,109,171,262,429,844,0,0
Hannover,0,0,7,20,39,62,90,96,119,132,164,210,171,177,222,211,172,108,0,0
Hertha,0,1,49,83,140,139,190,198,190,166,162,149,138,139,111,77,50,18,0,0
Hoffenheim,0,2,29,97,129,155,160,182,191,201,171,161,151,141,101,73,38,18,0,0
Leverkusen,2,129,921,429,200,126,64,53,39,13,11,7,3,3,0,0,0,0,0,0
Mainz,0,1,29,48,89,126,171,163,168,197,189,179,162,149,125,93,76,35,0,0
Schalke 04,0,22,335,428,341,240,180,135,111,73,37,36,21,19,13,6,2,1,0,0
Ein Frankfurt,0,0,15,49,92,121,166,172,157,163,198,192,156,132,139,115,89,44,0,0
Freiburg,0,0,2,5,14,19,18,38,48,72,87,130,166,203,234,311,324,329,0,0
Hamburg,0,0,13,35,57,77,98,122,165,170,174,164,204,200,166,157,125,73,0,0
M'gladbach,0,11,147,263,256,271,213,182,141,134,123,78,68,45,33,25,10,0,0,0
Stuttgart,0,1,32,73,122,157,173,185,159,188,177,165,160,132,111,65,64,36,0,0
Werder Bremen,0,0,3,6,12,27,29,64,89,94,138,120,186,199,228,284,310,211,0,0
Wolfsburg,0,6,206,323,318,250,209,171,152,84,76,66,55,40,23,15,5,1,0,0
Dortmund,178,1647,148,21,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Nurnberg,0,0,1,4,22,27,37,53,68,112,109,145,170,215,247,249,279,262,0,0
