Teams,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Montpellier,1,13,38,82,142,151,208,229,208,196,148,134,133,88,81,54,37,30,19,8
Bordeaux,2,38,79,122,181,224,234,202,180,164,133,110,82,80,52,43,29,22,18,5
Evian Thonon Gaillard,0,0,1,5,9,20,30,47,75,96,116,133,147,156,184,195,224,235,205,122
Lille,15,259,497,384,292,226,108,80,51,26,26,15,12,5,2,1,1,0,0,0
Lyon,7,89,257,310,317,263,210,144,120,92,62,37,35,26,13,9,4,4,1,0
Nantes,0,2,7,29,45,62,106,130,149,158,150,166,183,158,146,137,120,120,98,34
Rennes,0,2,7,37,55,82,121,133,162,170,181,177,167,161,146,109,101,86,69,34
Valenciennes,0,0,2,9,17,15,41,67,71,114,107,140,165,164,184,192,199,190,185,138
Ajaccio,0,0,0,0,0,1,0,3,6,4,10,19,28,42,48,97,130,210,394,1008
Guingamp,0,1,6,17,27,72,75,106,110,133,159,166,175,178,150,184,140,149,91,61
Sochaux,0,1,1,1,8,13,21,23,33,59,71,78,112,136,149,202,236,283,325,248
Bastia,0,0,1,4,13,20,43,48,68,90,108,141,159,168,199,194,220,196,200,128
Marseille,14,130,312,354,310,271,168,156,87,59,46,29,17,21,13,3,4,4,2,0
Nice,0,2,6,13,29,28,67,104,112,140,150,142,169,179,181,165,176,156,111,70
Reims,0,0,1,4,13,30,43,62,96,90,138,159,133,153,200,195,195,188,191,109
St Etienne,9,142,343,361,311,238,209,111,103,59,44,26,10,15,9,4,4,0,1,1
Toulouse,0,3,30,56,95,137,168,179,203,175,190,152,130,128,97,95,71,43,36,12
Lorient,0,1,7,40,66,111,123,163,159,174,159,176,143,142,146,121,109,84,54,22
Monaco,159,1140,382,167,70,35,24,13,7,1,2,0,0,0,0,0,0,0,0,0
Paris SG,1793,177,23,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
