Teams,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Fiorentina,73,205,312,332,341,255,193,120,66,49,25,10,11,4,1,2,1,0,0,0
Juventus,1318,403,158,73,35,4,7,2,0,0,0,0,0,0,0,0,0,0,0,0
Atalanta,0,1,3,10,38,42,63,121,136,142,166,162,187,157,159,159,151,162,105,36
Chievo,0,0,1,5,8,20,30,51,75,94,121,117,138,168,171,202,213,232,223,131
Genoa,0,0,2,5,9,37,51,86,102,149,156,172,170,171,194,185,175,146,146,44
Milan,276,519,437,294,216,125,79,31,13,6,3,1,0,0,0,0,0,0,0,0
Palermo,0,1,5,5,8,38,56,75,98,128,155,193,175,175,183,162,175,165,148,55
Pescara,0,0,0,0,0,0,0,0,2,1,2,8,10,14,28,43,73,146,335,1338
Roma,91,237,302,359,329,247,169,117,55,38,16,11,14,8,3,0,3,1,0,0
Siena,0,1,0,1,4,7,21,29,50,71,104,118,144,157,184,203,247,254,292,113
Bologna,0,0,0,1,9,27,51,76,101,142,152,160,163,182,170,169,160,203,158,76
Torino,0,2,3,5,21,36,71,129,146,144,136,168,168,188,172,171,147,134,118,41
Cagliari,0,0,2,9,9,18,37,71,106,120,139,153,165,183,179,183,200,183,180,63
Catania,1,4,8,21,37,83,87,166,191,194,173,179,167,154,138,141,99,77,60,20
Inter,18,72,135,224,267,306,300,212,129,114,82,43,32,17,14,18,7,6,3,1
Lazio,17,69,125,203,278,294,315,195,154,102,73,53,45,26,13,22,11,3,2,0
Napoli,203,467,461,342,224,149,62,50,17,14,4,2,4,0,0,0,1,0,0,0
Parma,2,6,14,28,74,123,143,161,210,174,168,166,132,129,130,108,94,78,51,9
Sampdoria,0,0,6,11,20,31,59,87,111,130,133,137,151,176,188,174,189,168,158,71
Udinese,1,13,26,72,73,158,206,221,238,188,192,147,124,91,73,58,54,42,21,2
