Teams,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Werder Bremen,239,351,322,288,234,208,135,81,63,28,23,14,7,6,1,0,0,0,0,0
Dortmund,35,105,140,206,231,254,228,197,172,143,105,67,49,31,19,8,4,6,0,0
Freiburg,0,0,1,1,2,4,6,14,26,30,60,81,124,143,182,270,387,669,0,0
Hamburg,16,54,93,152,156,218,236,246,213,161,131,102,70,57,49,20,18,8,0,0
Hertha,25,106,153,217,242,267,227,208,163,134,79,65,45,26,22,11,7,3,0,0
Kaiserslautern,2,6,12,23,31,65,99,125,159,202,203,197,189,165,171,156,116,79,0,0
Leverkusen,127,270,299,297,243,223,169,129,92,61,40,22,11,6,9,1,1,0,0,0
Bielefeld,0,1,10,9,15,22,41,77,131,125,163,185,192,226,208,202,213,180,0,0
Stuttgart,152,346,354,282,259,171,161,101,67,52,32,9,3,6,4,0,0,1,0,0
Bayern Munich,1224,403,148,98,65,29,22,7,2,2,0,0,0,0,0,0,0,0,0,0
Hansa Rostock,0,1,2,1,7,11,24,49,64,80,119,138,185,203,227,236,319,334,0,0
Mainz,1,0,1,5,18,24,36,82,97,106,155,183,205,222,236,227,226,176,0,0
M'gladbach,1,5,20,27,34,61,97,123,168,194,161,205,189,169,171,180,103,92,0,0
Nurnberg,0,1,5,8,16,32,48,85,101,120,161,195,177,226,217,218,225,165,0,0
Schalke 04,171,313,365,283,272,176,149,108,68,43,28,9,8,4,2,0,1,0,0,0
Bochum,1,3,5,6,29,41,61,94,107,156,164,187,214,188,202,213,188,141,0,0
Wolfsburg,6,32,63,76,117,148,192,183,194,208,200,153,130,93,89,55,43,18,0,0
Hannover,0,3,7,21,29,46,69,91,113,155,176,188,202,229,191,203,149,128,0,0
