Teams,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Dortmund,398,1315,228,46,10,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Augsburg,0,0,4,16,39,48,68,96,102,124,137,136,156,193,222,235,252,172,0,0
Ein Frankfurt,0,3,50,112,175,178,189,175,177,161,138,135,126,116,97,77,62,29,0,0
Freiburg,1,0,43,93,149,181,198,185,164,150,163,156,125,121,97,72,58,44,0,0
Greuther Furth,0,0,0,2,5,6,16,15,38,47,67,94,105,129,170,256,358,692,0,0
Hamburg,0,1,18,49,76,91,143,163,165,164,142,165,166,155,150,161,126,65,0,0
M'gladbach,0,0,20,75,126,126,160,157,168,182,140,143,156,147,138,110,91,61,0,0
Hannover,0,0,14,55,90,119,138,127,145,167,172,169,155,147,166,142,109,85,0,0
Stuttgart,0,3,43,84,188,162,176,179,179,159,165,128,123,113,102,97,55,44,0,0
Mainz,0,3,52,100,152,200,198,177,179,165,136,130,125,116,93,69,72,33,0,0
Fortuna Dusseldorf,0,0,0,4,17,22,29,33,64,72,101,134,127,186,192,249,353,417,0,0
Hoffenheim,0,0,8,38,62,122,100,125,119,151,161,189,191,162,185,150,129,108,0,0
Leverkusen,9,113,592,577,251,150,106,80,39,33,20,9,10,5,3,2,1,0,0,0
Nurnberg,0,0,1,29,46,66,81,97,140,128,149,146,178,181,185,225,194,154,0,0
Schalke 04,11,164,809,496,231,124,60,43,27,14,11,6,0,2,1,0,1,0,0,0
Werder Bremen,1,5,68,143,240,233,166,197,159,126,142,119,110,104,72,47,45,23,0,0
Bayern Munich,1580,391,25,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wolfsburg,0,2,25,77,143,170,171,151,135,157,156,141,147,123,127,108,94,73,0,0
