Teams,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Bayern Munich,1447,301,116,56,41,19,6,7,5,1,1,0,0,0,0,0,0,0,0,0
Hamburg,9,42,84,108,139,178,158,194,203,157,139,150,117,113,72,64,48,25,0,0
Hertha,5,34,69,124,133,157,157,168,190,166,173,141,120,96,99,76,60,32,0,0
Kaiserslautern,4,20,44,64,112,93,132,150,151,182,171,185,159,151,117,113,90,62,0,0
Leverkusen,111,326,357,307,225,176,168,96,85,50,35,21,19,13,7,0,3,1,0,0
Schalke 04,20,101,178,191,204,219,211,191,126,133,106,82,74,64,51,27,16,6,0,0
Wolfsburg,5,23,47,71,101,137,150,181,182,180,190,173,156,134,101,77,62,30,0,0
Hansa Rostock,0,8,14,30,42,72,97,103,137,131,143,159,187,195,188,199,174,121,0,0
M'gladbach,1,5,6,13,23,39,67,80,96,133,132,165,182,192,209,217,248,192,0,0
Bochum,6,39,47,84,96,133,148,149,160,166,161,158,144,144,149,109,67,40,0,0
Dortmund,143,363,322,264,253,182,146,99,58,67,36,27,24,7,6,3,0,0,0,0
FC Koln,0,0,1,3,5,4,21,21,30,51,58,73,101,139,188,266,381,658,0,0
Freiburg,0,2,13,14,34,52,57,91,117,156,150,179,170,204,189,210,195,167,0,0
Hannover,0,7,15,27,45,65,87,102,121,125,167,164,186,182,203,185,182,137,0,0
Munich 1860,1,7,22,39,52,73,106,117,136,134,164,157,184,173,197,175,147,116,0,0
Werder Bremen,115,365,338,303,235,178,129,105,76,50,37,31,19,5,6,5,3,0,0,0
Ein Frankfurt,0,2,3,8,17,21,27,54,59,77,106,105,136,171,211,271,320,412,0,0
Stuttgart,133,355,324,294,243,202,133,92,68,41,31,30,22,17,7,3,4,1,0,0
