Teams,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Ajaccio,0,0,0,0,3,4,4,14,11,11,21,39,57,90,107,138,187,248,381,685
Brest,0,2,4,8,17,31,54,68,88,100,147,134,197,165,188,214,180,164,133,106
Caen,1,2,4,10,20,30,43,79,69,120,129,148,169,143,165,191,183,179,179,136
Marseille,211,289,367,303,271,168,130,88,59,40,22,25,11,6,3,4,2,1,0,0
Montpellier,89,158,205,273,311,271,176,144,129,77,57,46,29,16,11,3,3,2,0,0
Nancy,0,0,3,5,3,23,32,48,80,98,122,145,135,185,170,197,199,209,191,155
Nice,1,1,2,6,12,32,53,79,101,108,152,130,184,161,177,176,175,154,167,129
Paris SG,670,491,329,226,117,89,46,15,12,1,1,2,1,0,0,0,0,0,0,0
Bordeaux,25,64,118,161,209,242,263,207,166,149,106,90,56,40,39,24,15,19,6,1
Dijon,0,0,2,0,1,2,16,25,44,64,56,99,94,117,152,176,239,264,301,348
Lorient,1,13,15,44,61,93,153,163,193,173,149,171,174,151,118,111,75,67,42,33
Lyon,357,368,358,305,217,144,103,50,33,25,19,8,6,2,4,0,0,1,0,0
Rennes,45,83,131,210,245,256,225,218,152,115,88,67,51,43,27,13,19,10,2,0
Sochaux,0,1,4,11,23,24,52,65,86,123,151,157,159,170,190,193,172,149,158,112
St Etienne,4,18,39,60,101,169,188,197,198,190,178,122,127,111,87,87,54,41,19,10
Toulouse,12,25,52,84,125,162,193,198,192,196,150,157,119,88,83,56,38,42,18,10
Valenciennes,0,1,17,26,47,85,120,125,175,145,184,172,140,167,125,130,118,110,69,44
Auxerre,1,4,11,16,43,62,76,127,111,153,144,170,149,175,159,138,147,132,108,74
Evian Thonon Gaillard,0,0,1,6,23,15,41,62,80,103,120,113,139,169,194,149,194,208,226,157
Lille,583,480,338,246,151,98,32,28,21,9,4,5,3,1,1,0,0,0,0,0
