,Teams,Performance,Wins100,Draws100,Losses100,Points,Matches,Wins,Draws,Losses
1,Man City,77.48,72.2,15.8,12.0,32540,14000,10109,2213,1678
2,Liverpool,70.77,64.6,18.6,16.8,33968,16000,10328,2984,2688
3,Chelsea,66.15,58.8,21.9,19.2,31750,16000,9415,3505,3080
4,Man United,60.4,52.8,22.8,24.4,27182,15000,7921,3419,3660
5,Tottenham,54.8,46.7,24.2,29.1,24659,15000,7009,3632,4359
6,Leicester,50.8,42.5,24.8,32.7,24385,16000,6805,3970,5225
7,Arsenal,50.59,42.5,24.4,33.2,24283,16000,6795,3898,5307
8,Everton,50.5,42.0,25.6,32.4,22727,15000,6295,3842,4863
9,Southampton,44.41,35.7,26.2,38.1,21319,16000,5707,4198,6095
10,Wolves,43.89,34.8,27.4,37.9,21068,16000,5563,4379,6058
11,Leeds,43.02,35.4,22.7,41.8,20649,16000,5670,3639,6691
12,Aston Villa,43.02,34.6,25.2,40.2,18070,14000,4847,3529,5624
13,Brighton,41.07,32.5,25.8,41.8,19712,16000,5196,4124,6680
14,West Ham,37.36,29.3,24.2,46.5,17931,16000,4685,3876,7439
15,Crystal Palace,35.59,26.6,26.9,46.5,17081,16000,4261,4298,7441
16,Burnley,31.61,23.4,24.6,52.0,14226,15000,3512,3690,7798
17,Sheffield United,31.14,22.8,25.2,52.1,14948,16000,3641,4025,8334
18,Newcastle,30.91,22.6,24.9,52.5,13909,15000,3390,3739,7871
19,Fulham,30.76,22.9,23.6,53.5,13844,15000,3433,3545,8022
20,West Brom,28.5,20.9,22.7,56.4,13681,16000,3350,3631,9019
