,Season,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HY,AY,HR,AR,HO,AO,OddH,OddD,OddA,Margin,ProbH,ProbD,ProbA
17,2000-2001,E0,2000-08-23,Southampton,Coventry,1.0,2.0,A,0.0,1.0,A,F Taylor,12.0,7.0,4.0,5.0,18.0,20.0,5.0,3.0,0.0,0.0,0.0,6.0,1.9,2.9,3.2,0.06121445856019362,0.46510133091349054,0.28361312764670293,0.25128554143980636
18,2000-2001,E0,2000-08-23,West Ham,Leicester,0.0,1.0,A,0.0,0.0,D,Rob Styles,17.0,4.0,12.0,2.0,16.0,14.0,3.0,3.0,1.0,0.0,3.0,1.0,1.8,3.35,3.8,0.039073637659654915,0.5164819178959007,0.2594338250269122,0.22408425707718718
19,2000-2001,E0,2000-08-26,Arsenal,Charlton,5.0,3.0,H,1.0,2.0,A,Steve Lodge,18.0,7.0,9.0,4.0,12.0,15.0,0.0,1.0,0.0,0.0,3.0,2.0,1.3,4.3,8.2,0.04124670942594936,0.7279840598048198,0.19131143010893437,0.08070451008624577
20,2000-2001,E0,2000-08-26,Bradford,Leicester,0.0,0.0,D,0.0,0.0,D,Steve Bennett,8.0,13.0,4.0,8.0,11.0,12.0,1.0,2.0,0.0,0.0,4.0,4.0,2.15,3.3,2.8,0.04176314641430919,0.42335313265545826,0.26126715661599387,0.315379710728548
21,2000-2001,E0,2000-08-26,Everton,Derby,2.0,2.0,D,2.0,0.0,H,Mike Riley,12.0,7.0,9.0,4.0,11.0,9.0,2.0,3.0,0.0,0.0,2.0,2.0,1.66,3.5,4.1,0.04400878776429762,0.5584008507899193,0.24170549794998808,0.19989365126009265
22,2000-2001,E0,2000-08-26,Ipswich,Sunderland,1.0,0.0,H,0.0,0.0,D,Graham Poll,14.0,9.0,5.0,3.0,10.0,12.0,1.0,1.0,0.0,0.0,3.0,10.0,2.3,3.2,2.65,0.04154703308722999,0.3932355756084222,0.27095296691277,0.33581145747880775
23,2000-2001,E0,2000-08-26,Man City,Coventry,1.0,2.0,A,0.0,2.0,A,Andy D'Urso,14.0,9.0,5.0,8.0,7.0,12.0,2.0,3.0,0.0,0.0,3.0,10.0,1.95,3.5,3.1,0.04037181456536295,0.47244869825514996,0.24534247114892274,0.2822088305959274
24,2000-2001,E0,2000-08-26,Middlesbrough,Leeds,1.0,2.0,A,0.0,2.0,A,Graham Barber,15.0,16.0,8.0,11.0,12.0,20.0,2.0,0.0,0.0,0.0,4.0,5.0,2.3,3.2,2.65,0.04154703308722999,0.3932355756084222,0.27095296691277,0.33581145747880775
25,2000-2001,E0,2000-08-26,Newcastle,Tottenham,2.0,0.0,H,1.0,0.0,H,David Ellaray,15.0,10.0,6.0,2.0,13.0,10.0,0.0,0.0,0.0,0.0,6.0,4.0,1.95,3.4,3.25,0.03821015585721469,0.4746103569632982,0.2559074912016088,0.269482151835093
26,2000-2001,E0,2000-08-26,Southampton,Liverpool,3.0,3.0,D,0.0,1.0,A,Jeff Winter,14.0,9.0,7.0,4.0,7.0,6.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,3.4,1.7,0.04411764705882352,0.2058823529411765,0.25,0.5441176470588236
27,2000-2001,E0,2000-08-26,West Ham,Man United,2.0,2.0,D,0.0,1.0,A,Dermot Gallagher,17.0,8.0,8.0,5.0,12.0,9.0,1.0,0.0,0.0,0.0,5.0,1.0,4.2,3.5,1.65,0.04329004329004323,0.19480519480519484,0.24242424242424246,0.5627705627705628
28,2000-2001,E0,2000-08-27,Aston Villa,Chelsea,1.0,1.0,D,1.0,1.0,D,Paul Durkin,12.0,11.0,9.0,7.0,13.0,12.0,0.0,1.0,0.0,0.0,2.0,0.0,2.7,3.3,2.2,0.04264870931537601,0.32772166105499434,0.26038159371492703,0.4118967452300785
29,2000-2001,E0,2000-09-05,Leeds,Man City,1.0,2.0,A,0.0,2.0,A,Graham Poll,6.0,8.0,1.0,3.0,18.0,24.0,2.0,2.0,0.0,0.0,2.0,2.0,1.33,4.2,6.8,0.04567792029092336,0.7062017789571969,0.19241731780431473,0.10138090323848842
30,2000-2001,E0,2000-09-05,Man United,Bradford,6.0,0.0,H,2.0,0.0,H,Ian Harris,21.0,6.0,12.0,4.0,12.0,10.0,0.0,1.0,0.0,0.0,4.0,9.0,1.2,5.5,9.0,0.0420875420875421,0.7912457912457913,0.13973063973063973,0.06902356902356901
31,2000-2001,E0,2000-09-05,Sunderland,West Ham,1.0,1.0,D,1.0,1.0,D,Peter Jones,17.0,16.0,7.0,9.0,19.0,14.0,2.0,3.0,0.0,0.0,2.0,10.0,2.0,3.2,3.3,0.038510101010100994,0.461489898989899,0.273989898989899,0.26452020202020204
32,2000-2001,E0,2000-09-05,Tottenham,Everton,3.0,2.0,H,1.0,2.0,A,Barry Knight,11.0,11.0,7.0,6.0,11.0,10.0,1.0,2.0,0.0,0.0,11.0,7.0,1.75,3.3,4.0,0.04148629148629146,0.5299422799422799,0.2615440115440116,0.20851370851370854
