,Season,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HY,AY,HR,AR,HO,AO,OddH,OddD,OddA,Margin,ProbH,ProbD,ProbA
5666,2001-2002,E0,2002-01-09,Southampton,Liverpool,2.0,0.0,H,0.0,0.0,D,"Poll, G.",9.0,7.0,7.0,4.0,12.0,7.0,0.0,1.0,0.0,0.0,3.0,4.0,3.9,3.4,1.76,0.03956990721696604,0.2168403491932904,0.2545477398418575,0.5286119109648522
5667,2001-2002,E0,2002-01-12,Aston Villa,Derby,2.0,1.0,H,2.0,1.0,H,"Halsey, M. R.",9.0,3.0,5.0,1.0,15.0,13.0,2.0,3.0,0.0,1.0,5.0,5.0,1.53,3.5,5.65,0.038766735799531236,0.6148280354422988,0.24694754991475446,0.13822441464294663
5668,2001-2002,E0,2002-01-12,Blackburn,Charlton,4.0,1.0,H,2.0,0.0,H,"Barry, N. S.",18.0,9.0,11.0,6.0,12.0,11.0,0.0,0.0,0.0,1.0,7.0,3.0,2.1,3.1,3.15,0.03874381293736132,0.4374466632531148,0.28383683222392897,0.2787165045229561
5669,2001-2002,E0,2002-01-12,Bolton,Chelsea,2.0,2.0,D,0.0,0.0,D,"Winter, J. T.",11.0,9.0,5.0,4.0,10.0,11.0,0.0,1.0,0.0,0.0,5.0,6.0,3.25,3.35,1.95,0.039673427733129284,0.26801887995917845,0.2588340349534379,0.4731470850873836
5670,2001-2002,E0,2002-01-12,Everton,Sunderland,1.0,0.0,H,1.0,0.0,H,"Elleray, D. R.",9.0,6.0,5.0,1.0,11.0,16.0,1.0,1.0,0.0,0.0,2.0,0.0,2.2,3.1,2.95,0.038703050184734154,0.4158424043607204,0.2838775949765562,0.3002800006627235
5671,2001-2002,E0,2002-01-12,Fulham,Middlesbrough,2.0,1.0,H,2.0,1.0,H,"Dean, M. L",19.0,8.0,11.0,4.0,15.0,18.0,1.0,2.0,0.0,0.0,2.0,4.0,1.71,3.3,4.4,0.038366117313485715,0.5464292043239412,0.2646641857168173,0.18890660995924155
5672,2001-2002,E0,2002-01-12,Ipswich,Tottenham,2.0,1.0,H,1.0,0.0,H,"Messias, M. D.",8.0,11.0,5.0,6.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.4,3.25,2.55,0.03883861236802414,0.3778280542986425,0.26885369532428355,0.35331825037707393
5673,2001-2002,E0,2002-01-12,West Ham,Leicester,1.0,0.0,H,1.0,0.0,H,"Gallagher, D. J.",11.0,5.0,7.0,3.0,10.0,11.0,1.0,2.0,0.0,0.0,6.0,2.0,1.6,3.5,5.0,0.03690476190476192,0.5880952380952381,0.24880952380952379,0.1630952380952381
5674,2001-2002,E0,2002-01-13,Arsenal,Liverpool,1.0,1.0,D,0.0,0.0,D,"Dunn, S. W.",11.0,5.0,4.0,2.0,15.0,16.0,1.0,1.0,0.0,0.0,3.0,3.0,1.9,3.25,3.55,0.038566079337020755,0.4877497101366634,0.26912622835528693,0.2431240615080497
5675,2001-2002,E0,2002-01-13,Southampton,Man United,1.0,3.0,A,1.0,2.0,A,"Bennett, S. G.",12.0,11.0,4.0,7.0,11.0,8.0,1.0,1.0,0.0,0.0,3.0,1.0,5.15,3.6,1.55,0.03903794179397065,0.15513681548758274,0.23873983598380713,0.6061233485286099
5676,2001-2002,E0,2002-01-19,Derby,Ipswich,1.0,3.0,A,0.0,0.0,D,"Durkin, P. A.",13.0,13.0,5.0,5.0,7.0,16.0,0.0,2.0,0.0,0.0,5.0,0.0,2.3,3.15,2.75,0.03862642993077777,0.39615617876487447,0.2788338875295397,0.3250099337055859
5677,2001-2002,E0,2002-01-19,Leicester,Newcastle,0.0,0.0,D,0.0,0.0,D,"Wiley, A. G.",8.0,9.0,4.0,3.0,17.0,19.0,2.0,2.0,0.0,0.0,3.0,3.0,3.95,3.25,1.7,0.04969738625732667,0.2034671707046986,0.25799492143498104,0.5385379078603204
5678,2001-2002,E0,2002-01-19,Liverpool,Southampton,1.0,1.0,D,1.0,0.0,H,"Barry, N. S.",9.0,6.0,5.0,2.0,10.0,17.0,0.0,1.0,0.0,0.0,0.0,3.0,1.34,4.2,7.8,0.03752300767226139,0.7087456490441565,0.2005722304229767,0.09068212053286684
5679,2001-2002,E0,2002-01-19,Man United,Blackburn,2.0,1.0,H,1.0,0.0,H,"Rennie, U. D.",16.0,10.0,6.0,4.0,13.0,13.0,1.0,0.0,0.0,0.0,4.0,2.0,1.25,5.0,9.0,0.037037037037037056,0.762962962962963,0.16296296296296295,0.07407407407407404
5680,2001-2002,E0,2002-01-19,Middlesbrough,Bolton,1.0,1.0,D,1.0,0.0,H,"Poll, G.",11.0,7.0,3.0,4.0,16.0,17.0,1.0,1.0,0.0,0.0,4.0,4.0,1.95,3.2,3.45,0.038391861761427025,0.4744286510590859,0.274108138238573,0.2514632107023411
5681,2001-2002,E0,2002-01-19,Sunderland,Fulham,1.0,1.0,D,0.0,1.0,A,"Jones, P.",16.0,9.0,8.0,2.0,19.0,13.0,3.0,2.0,0.0,0.0,1.0,4.0,2.15,3.1,3.05,0.03852192556335806,0.4265943535064094,0.2840587195979323,0.2893469268956584
5682,2001-2002,E0,2002-01-19,Tottenham,Everton,1.0,1.0,D,1.0,1.0,D,"Wilkes, C. R.",12.0,4.0,4.0,2.0,14.0,17.0,0.0,2.0,0.0,0.0,4.0,3.0,1.6,3.4,5.2,0.037141779788838626,0.5878582202111614,0.2569758672699849,0.15516591251885367
5683,2001-2002,E0,2002-01-20,Chelsea,West Ham,5.0,1.0,H,1.0,0.0,H,"D'Urso, A. P.",22.0,5.0,15.0,4.0,13.0,10.0,3.0,1.0,0.0,1.0,0.0,4.0,1.55,3.4,5.65,0.038756695941294016,0.6064045943812866,0.25536095111752954,0.13823445450118385
5684,2001-2002,E0,2002-01-20,Leeds,Arsenal,1.0,1.0,D,1.0,1.0,D,"Halsey, M. R.",6.0,9.0,1.0,6.0,18.0,16.0,1.0,2.0,0.0,0.0,1.0,0.0,2.6,3.15,2.42,0.038432947523856585,0.346182437091528,0.2790273699364609,0.3747901929720112
5685,2001-2002,E0,2002-01-21,Charlton,Aston Villa,1.0,2.0,A,0.0,2.0,A,"Styles, R",9.0,7.0,5.0,3.0,7.0,11.0,1.0,1.0,0.0,0.0,7.0,7.0,2.28,3.15,2.8,0.037733221943748285,0.4008632692843219,0.27972709551656916,0.31940963519910887
5686,2001-2002,E0,2002-01-22,Man United,Liverpool,0.0,1.0,A,0.0,0.0,D,"Barber, G. P.",12.0,9.0,3.0,5.0,15.0,16.0,1.0,2.0,0.0,0.0,0.0,1.0,1.7,3.35,4.2,0.04161266496648408,0.546622629151163,0.25689479772008306,0.196482573128754
5687,2001-2002,E0,2002-01-23,Leicester,Arsenal,1.0,3.0,A,0.0,2.0,A,"Elleray, D. R.",3.0,13.0,2.0,8.0,12.0,9.0,2.0,0.0,0.0,0.0,2.0,2.0,5.85,3.6,1.5,0.03846153846153847,0.13247863247863248,0.23931623931623933,0.6282051282051282
5688,2001-2002,E0,2002-01-29,Bolton,Man United,0.0,4.0,A,0.0,2.0,A,"D'Urso, A. P.",15.0,21.0,4.0,12.0,10.0,9.0,0.0,0.0,0.0,0.0,1.0,4.0,5.75,3.6,1.51,0.03798082562839259,0.13593221784986828,0.2397969521493852,0.6242708300007466
5689,2001-2002,E0,2002-01-29,Charlton,Derby,1.0,0.0,H,0.0,0.0,D,"Pugh, D.",11.0,3.0,3.0,2.0,11.0,13.0,1.0,2.0,0.0,0.0,3.0,6.0,1.7,3.35,4.4,0.038005161358980466,0.5502301327586666,0.26050230132758667,0.1892675659137468
5690,2001-2002,E0,2002-01-29,Sunderland,Middlesbrough,0.0,1.0,A,0.0,1.0,A,"Durkin, P.",18.0,6.0,8.0,2.0,12.0,13.0,0.0,2.0,0.0,1.0,3.0,3.0,1.9,3.2,3.6,0.03886452241715399,0.4874512670565302,0.273635477582846,0.2389132553606238
5691,2001-2002,E0,2002-01-30,Aston Villa,Everton,0.0,0.0,D,0.0,0.0,D,"Foy, C. J.",8.0,6.0,2.0,0.0,14.0,21.0,1.0,3.0,0.0,0.0,0.0,2.0,1.65,3.3,4.85,0.03842549203373946,0.5676351140268666,0.2646048109965636,0.16776007497656983
5692,2001-2002,E0,2002-01-30,Blackburn,Arsenal,2.0,3.0,A,2.0,2.0,D,"Gallagher, D. J.",10.0,9.0,4.0,5.0,18.0,21.0,2.0,2.0,0.0,1.0,2.0,7.0,3.65,3.25,1.88,0.03785993468301833,0.2361126680567077,0.26983237300928936,0.4940549589340029
5693,2001-2002,E0,2002-01-30,Chelsea,Leeds,2.0,0.0,H,2.0,0.0,H,"Bennett, S. G.",14.0,6.0,3.0,4.0,11.0,22.0,1.0,2.0,0.0,0.0,1.0,6.0,2.28,3.15,2.8,0.037733221943748285,0.4008632692843219,0.27972709551656916,0.31940963519910887
5694,2001-2002,E0,2002-01-30,Ipswich,Fulham,1.0,0.0,H,1.0,0.0,H,"Wiley, A. G.",13.0,7.0,8.0,3.0,18.0,11.0,1.0,2.0,0.0,0.0,4.0,1.0,2.2,3.2,2.9,0.03729101358411705,0.41725444096133746,0.27520898641588293,0.3075365726227795
5695,2001-2002,E0,2002-01-30,Liverpool,Leicester,1.0,0.0,H,0.0,0.0,D,"Knight, B.",11.0,3.0,4.0,0.0,9.0,21.0,1.0,2.0,0.0,0.0,3.0,1.0,1.25,4.75,9.5,0.03859649122807015,0.7614035087719299,0.17192982456140352,0.06666666666666668
5696,2001-2002,E0,2002-01-30,Southampton,West Ham,2.0,0.0,H,1.0,0.0,H,"Dowd, P.",10.0,11.0,8.0,4.0,16.0,13.0,0.0,3.0,0.0,0.0,2.0,1.0,2.05,3.15,3.25,0.03765250106713521,0.45015237698164534,0.27980781639318225,0.2700398066251725
5697,2001-2002,E0,2002-01-30,Tottenham,Newcastle,1.0,3.0,A,1.0,0.0,H,"Dean, M. L",8.0,10.0,6.0,4.0,8.0,5.0,1.0,1.0,0.0,0.0,1.0,2.0,2.2,3.2,2.9,0.03729101358411705,0.41725444096133746,0.27520898641588293,0.3075365726227795
5698,2001-2002,E0,2002-02-02,Arsenal,Southampton,1.0,1.0,D,1.0,0.0,H,"Wilkes, C. R.",14.0,4.0,4.0,1.0,13.0,22.0,2.0,3.0,0.0,0.0,6.0,7.0,1.3,4.5,8.0,0.03881766381766383,0.7304131054131053,0.18340455840455838,0.08618233618233617
5699,2001-2002,E0,2002-02-02,Derby,Tottenham,1.0,0.0,H,1.0,0.0,H,"Rennie, U. D.",12.0,7.0,7.0,3.0,21.0,8.0,3.0,2.0,0.0,0.0,6.0,7.0,2.82,3.25,2.2,0.038949230438592185,0.31566069863942203,0.26874307725371555,0.41559622410686237
5700,2001-2002,E0,2002-02-02,Everton,Ipswich,1.0,2.0,A,1.0,2.0,A,"Dunn, S. W.",9.0,5.0,4.0,3.0,19.0,16.0,1.0,0.0,0.0,0.0,3.0,0.0,2.02,3.3,3.15,0.03851337514703849,0.45653612980345654,0.26451692788326453,0.27894694231327893
5701,2001-2002,E0,2002-02-02,Fulham,Aston Villa,0.0,0.0,D,0.0,0.0,D,"Messias, M. D.",9.0,15.0,3.0,9.0,12.0,14.0,1.0,2.0,0.0,0.0,3.0,3.0,2.05,3.1,3.25,0.03935927696745948,0.44844560108132103,0.2832213681938308,0.2683330307248482
5702,2001-2002,E0,2002-02-02,Leicester,Chelsea,2.0,3.0,A,1.0,0.0,H,"Barber, G. P.",16.0,9.0,9.0,5.0,16.0,17.0,1.0,3.0,0.0,0.0,3.0,1.0,3.9,3.35,1.78,0.03890515730193744,0.217505099108319,0.2596023053846297,0.5228925955070514
5703,2001-2002,E0,2002-02-02,Man United,Sunderland,4.0,1.0,H,4.0,1.0,H,"Styles, R.",18.0,6.0,8.0,3.0,6.0,11.0,1.0,3.0,0.0,0.0,4.0,2.0,1.22,5.1,10.0,0.03858352084003003,0.781088610307511,0.15749491053251902,0.06141647915996998
5704,2001-2002,E0,2002-02-02,Newcastle,Bolton,3.0,2.0,H,2.0,2.0,D,"Elleray, D. R.",10.0,10.0,6.0,6.0,3.0,9.0,0.0,0.0,0.0,0.0,2.0,2.0,1.42,3.7,7.0,0.03911758841336307,0.665107763699313,0.23115268185690716,0.10373955444377977
5705,2001-2002,E0,2002-02-02,West Ham,Blackburn,2.0,0.0,H,1.0,0.0,H,"Jones, P.",13.0,14.0,6.0,2.0,10.0,20.0,2.0,3.0,0.0,0.0,1.0,1.0,1.9,3.25,3.55,0.038566079337020755,0.4877497101366634,0.26912622835528693,0.2431240615080497
5706,2001-2002,E0,2002-02-03,Leeds,Liverpool,0.0,4.0,A,0.0,1.0,A,"Poll, G.",13.0,11.0,5.0,7.0,14.0,9.0,2.0,1.0,0.0,0.0,2.0,0.0,2.25,3.2,2.78,0.03888555822009058,0.4055588862243538,0.2736144417799094,0.3208266719957368
5707,2001-2002,E0,2002-02-03,Middlesbrough,Charlton,0.0,0.0,D,0.0,0.0,D,"Riley, M. A.",7.0,8.0,3.0,2.0,17.0,15.0,1.0,2.0,0.0,0.0,0.0,5.0,2.02,3.25,3.2,0.03841393754760092,0.4566355674028941,0.2692783701447068,0.2740860624523991
5708,2001-2002,E0,2002-02-09,Aston Villa,Chelsea,1.0,1.0,D,1.0,0.0,H,"Durkin, P. A.",7.0,9.0,3.0,3.0,10.0,10.0,1.0,1.0,0.0,0.0,4.0,4.0,2.48,3.1,2.55,0.03932110478600048,0.36390470166561245,0.28325954037528983,0.3528357579590976
5709,2001-2002,E0,2002-02-09,Bolton,West Ham,1.0,0.0,H,1.0,0.0,H,"Pugh, D.",4.0,9.0,3.0,2.0,11.0,12.0,1.0,3.0,0.0,0.0,1.0,4.0,2.2,3.2,2.9,0.03729101358411705,0.41725444096133746,0.27520898641588293,0.3075365726227795
5710,2001-2002,E0,2002-02-09,Derby,Sunderland,0.0,1.0,A,0.0,0.0,D,"Poll, G.",9.0,8.0,4.0,4.0,13.0,15.0,0.0,1.0,0.0,0.0,1.0,8.0,2.25,3.15,2.85,0.03759398496240599,0.4068504594820384,0.27986633249791143,0.3132832080200501
5711,2001-2002,E0,2002-02-09,Fulham,Blackburn,2.0,0.0,H,1.0,0.0,H,"Halsey, M. R.",13.0,10.0,8.0,6.0,18.0,15.0,3.0,2.0,0.0,1.0,4.0,1.0,1.85,3.2,3.8,0.03873281175912754,0.5018077287814129,0.2737671882408725,0.22442508297771455
5712,2001-2002,E0,2002-02-09,Ipswich,Liverpool,0.0,6.0,A,0.0,2.0,A,"Bennett, S. G.",4.0,14.0,2.0,11.0,2.0,4.0,0.0,0.0,0.0,0.0,2.0,4.0,3.35,3.25,1.95,0.039673427733129284,0.2588340349534379,0.26801887995917845,0.4731470850873836
5713,2001-2002,E0,2002-02-09,Middlesbrough,Leeds,2.0,2.0,D,0.0,1.0,A,"Barry, N. S.",10.0,10.0,5.0,6.0,15.0,11.0,1.0,1.0,0.0,0.0,4.0,6.0,3.05,3.2,2.1,0.038853109549830865,0.2890157429091856,0.27364689045016916,0.4373373666406453
5714,2001-2002,E0,2002-02-09,Newcastle,Southampton,3.0,1.0,H,3.0,1.0,H,"Knight, B.",16.0,11.0,10.0,4.0,7.0,8.0,0.0,1.0,0.0,0.0,3.0,3.0,1.48,3.7,5.85,0.038962038962038946,0.6367136367136367,0.23130823130823128,0.131978131978132
5715,2001-2002,E0,2002-02-09,Tottenham,Leicester,2.0,1.0,H,1.0,0.0,H,"D'Urso, A. P.",12.0,7.0,4.0,6.0,8.0,9.0,0.0,1.0,0.0,0.0,3.0,5.0,1.42,3.65,7.25,0.03870966311172023,0.6655156890009559,0.2352629396280058,0.0992213713710384
5716,2001-2002,E0,2002-02-10,Charlton,Man United,0.0,2.0,A,0.0,1.0,A,"Wiley, A. G.",9.0,10.0,1.0,5.0,8.0,9.0,0.0,1.0,0.0,0.0,1.0,2.0,7.0,3.8,1.4,0.040100250626566414,0.10275689223057644,0.22305764411027568,0.6741854636591479
5717,2001-2002,E0,2002-02-10,Everton,Arsenal,0.0,1.0,A,0.0,0.0,D,"Winter, J. T.",6.0,6.0,2.0,3.0,17.0,20.0,0.0,5.0,0.0,0.0,3.0,6.0,3.9,3.15,1.85,0.038137038137038136,0.2182732182732183,0.2793232793232793,0.5024035024035023
5718,2001-2002,E0,2002-02-19,Middlesbrough,Fulham,2.0,1.0,H,1.0,0.0,H,"Gallagher, D. J.",11.0,10.0,5.0,5.0,13.0,14.0,1.0,2.0,0.0,0.0,6.0,3.0,2.35,3.2,2.65,0.03846346848655161,0.3870684464070654,0.27403653151344837,0.33889502207948613
5719,2001-2002,E0,2002-02-23,Arsenal,Fulham,4.0,1.0,H,3.0,1.0,H,"Rennie, U. D.",16.0,6.0,10.0,5.0,19.0,14.0,0.0,1.0,0.0,0.0,4.0,1.0,1.4,3.75,7.45,0.03839352295728138,0.6758921913284329,0.22827314370938528,0.09583466496218171
5720,2001-2002,E0,2002-02-23,Leicester,Derby,0.0,3.0,A,0.0,0.0,D,"Riley, M. A.",6.0,5.0,3.0,4.0,16.0,15.0,4.0,2.0,0.0,0.0,1.0,0.0,2.1,3.25,3.0,0.03907203907203908,0.43711843711843706,0.2686202686202686,0.2942612942612942
5721,2001-2002,E0,2002-02-23,Liverpool,Everton,1.0,1.0,D,0.0,0.0,D,"Elleray, D. R.",13.0,6.0,5.0,3.0,9.0,13.0,0.0,2.0,0.0,0.0,4.0,2.0,1.47,3.5,6.7,0.03841337530036889,0.6418587335431685,0.2473009104139168,0.11084035604291467
5722,2001-2002,E0,2002-02-23,Man United,Aston Villa,1.0,0.0,H,0.0,0.0,D,"Winter, J. T.",14.0,4.0,4.0,2.0,9.0,9.0,0.0,0.0,0.0,0.0,5.0,4.0,1.35,4.0,8.0,0.03858024691358023,0.7021604938271605,0.21141975308641978,0.08641975308641978
5723,2001-2002,E0,2002-02-23,Southampton,Bolton,0.0,0.0,D,0.0,0.0,D,"Wolstenholme, E. K.",8.0,4.0,2.0,2.0,17.0,9.0,1.0,3.0,1.0,0.0,1.0,7.0,1.9,3.2,3.6,0.03886452241715399,0.4874512670565302,0.273635477582846,0.2389132553606238
5724,2001-2002,E0,2002-02-23,West Ham,Middlesbrough,1.0,0.0,H,0.0,0.0,D,"Foy, C. J.",12.0,7.0,8.0,4.0,17.0,11.0,2.0,5.0,0.0,1.0,1.0,1.0,1.9,3.15,3.7,0.03801545906809064,0.48830033040559356,0.2794448583922268,0.23225481120217958
5725,2001-2002,E0,2002-02-24,Leeds,Charlton,0.0,0.0,D,0.0,0.0,D,"Dean, M. L",14.0,9.0,2.0,2.0,12.0,17.0,0.0,3.0,0.0,0.0,5.0,3.0,1.45,3.6,6.7,0.03889556051161813,0.650759611902175,0.23888221726615966,0.11035817083166544
5726,2001-2002,E0,2002-02-24,Sunderland,Newcastle,0.0,1.0,A,0.0,0.0,D,"Barber, G. P.",11.0,13.0,4.0,5.0,19.0,16.0,3.0,1.0,0.0,0.0,1.0,1.0,2.75,3.1,2.33,0.0384671860512924,0.32516917758507125,0.2841134591099979,0.3907173633049308
5727,2001-2002,E0,2002-03-02,Aston Villa,West Ham,2.0,1.0,H,1.0,1.0,D,"Barber, G. P.",10.0,4.0,7.0,3.0,12.0,19.0,0.0,1.0,0.0,0.0,3.0,1.0,1.68,3.35,4.55,0.03784192590162738,0.5573961693364679,0.26066553678493976,0.1819382938785924
5728,2001-2002,E0,2002-03-02,Bolton,Blackburn,1.0,1.0,D,1.0,0.0,H,"Durkin, P. A.",11.0,6.0,5.0,3.0,22.0,11.0,1.0,0.0,0.0,1.0,3.0,1.0,2.25,3.15,2.8,0.03968253968253969,0.4047619047619047,0.27777777777777773,0.31746031746031744
5729,2001-2002,E0,2002-03-02,Charlton,Chelsea,2.0,1.0,H,0.0,0.0,D,"Poll, G.",9.0,4.0,6.0,2.0,13.0,13.0,2.0,1.0,0.0,0.0,9.0,2.0,3.05,3.15,2.12,0.03900909437562702,0.28885975808338943,0.27845122308469045,0.4326890188319201
5730,2001-2002,E0,2002-03-02,Fulham,Liverpool,0.0,2.0,A,0.0,1.0,A,"Wiley, A. G.",11.0,10.0,5.0,4.0,13.0,14.0,3.0,2.0,0.0,0.0,0.0,3.0,3.05,3.1,2.15,0.03852192556335806,0.2893469268956584,0.2840587195979323,0.4265943535064094
5731,2001-2002,E0,2002-03-02,Ipswich,Southampton,1.0,3.0,A,0.0,0.0,D,"Halsey, M. R.",8.0,5.0,4.0,4.0,9.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,1.95,3.15,3.5,0.038665038665038676,0.4741554741554742,0.27879527879527877,0.24704924704924702
5732,2001-2002,E0,2002-03-02,Middlesbrough,Leicester,1.0,0.0,H,1.0,0.0,H,"Wolstenholme, E. K.",11.0,6.0,7.0,1.0,17.0,15.0,2.0,4.0,0.0,0.0,7.0,3.0,1.55,3.5,5.5,0.03756458595168274,0.6075967043708979,0.24814969976260295,0.14425359586649908
5733,2001-2002,E0,2002-03-02,Newcastle,Arsenal,0.0,2.0,A,0.0,2.0,A,"Barry, N. S.",13.0,9.0,6.0,6.0,17.0,17.0,0.0,1.0,0.0,0.0,3.0,4.0,2.5,3.05,2.6,0.03749474569146701,0.36250525430853303,0.29037410676754943,0.3471206389239176
5734,2001-2002,E0,2002-03-02,Tottenham,Sunderland,2.0,1.0,H,1.0,1.0,D,"Styles, R.",17.0,7.0,7.0,2.0,5.0,8.0,0.0,1.0,0.0,0.0,2.0,2.0,1.73,3.3,4.25,0.038786367586095626,0.5392483144948292,0.26424393544420743,0.1965077500609632
5735,2001-2002,E0,2002-03-03,Derby,Man United,2.0,2.0,D,1.0,1.0,D,"Dunn, S. W.",12.0,22.0,7.0,9.0,12.0,13.0,2.0,0.0,0.0,0.0,4.0,5.0,6.8,3.75,1.4,0.0426704014939309,0.10438842203548088,0.22399626517273577,0.6716153127917834
5736,2001-2002,E0,2002-03-03,Everton,Leeds,0.0,0.0,D,0.0,0.0,D,"D'Urso, A. P.",12.0,7.0,7.0,3.0,9.0,21.0,1.0,2.0,0.0,1.0,1.0,1.0,2.87,3.1,2.25,0.038485715118287876,0.30994634063084103,0.28409493004300246,0.40595872932615656
5737,2001-2002,E0,2002-03-05,Arsenal,Derby,1.0,0.0,H,0.0,0.0,D,"Barber, G. P.",17.0,0.0,8.0,0.0,13.0,16.0,1.0,2.0,0.0,0.0,7.0,2.0,1.2,5.2,11.0,0.03885003885003879,0.7944832944832946,0.1534576534576535,0.05205905205905212
5738,2001-2002,E0,2002-03-05,Blackburn,Aston Villa,3.0,0.0,H,1.0,0.0,H,"Bennett, S. G.",21.0,6.0,9.0,4.0,11.0,15.0,1.0,2.0,0.0,0.0,7.0,5.0,2.15,3.2,2.95,0.03886644330574166,0.42624983576402575,0.2736335566942583,0.30011660754171593
5739,2001-2002,E0,2002-03-05,Sunderland,Bolton,1.0,0.0,H,1.0,0.0,H,"Poll, G.",11.0,10.0,4.0,4.0,13.0,14.0,2.0,1.0,0.0,0.0,6.0,4.0,1.85,3.25,3.75,0.038299838299838296,0.5022407022407022,0.2693924693924694,0.22836682836682837
5740,2001-2002,E0,2002-03-06,Chelsea,Fulham,3.0,2.0,H,2.0,1.0,H,"Jones, P.",14.0,12.0,8.0,6.0,12.0,12.0,1.0,0.0,0.0,0.0,7.0,3.0,1.6,3.25,5.5,0.038170163170163196,0.5868298368298368,0.2695221445221445,0.14364801864801863
5741,2001-2002,E0,2002-03-06,Leeds,Ipswich,2.0,0.0,H,0.0,0.0,D,"Gallagher, D. J.",11.0,9.0,7.0,3.0,11.0,15.0,1.0,3.0,0.0,0.0,1.0,2.0,1.5,3.5,6.1,0.0387717928701535,0.6278948737965131,0.2469424928441322,0.1251626333593547
5742,2001-2002,E0,2002-03-06,Liverpool,Newcastle,3.0,0.0,H,1.0,0.0,H,"Winter, J. T.",23.0,11.0,11.0,2.0,8.0,13.0,0.0,0.0,0.0,0.0,5.0,1.0,1.77,3.4,3.9,0.038499884960503085,0.5264718664519263,0.25561776209832043,0.21791037144975337
5743,2001-2002,E0,2002-03-06,Man United,Tottenham,4.0,0.0,H,2.0,0.0,H,"Riley, M. A.",25.0,7.0,14.0,2.0,6.0,13.0,2.0,3.0,0.0,1.0,4.0,1.0,1.3,4.4,8.0,0.04050116550116548,0.7287296037296037,0.1867715617715618,0.08449883449883452
5744,2001-2002,E0,2002-03-06,Southampton,Middlesbrough,1.0,1.0,D,1.0,0.0,H,"Rennie, U. D.",9.0,4.0,4.0,1.0,17.0,12.0,1.0,1.0,0.0,1.0,5.0,3.0,1.9,3.3,3.55,0.03701207778301926,0.48930371169066494,0.2660182252472838,0.24467806306205117
5745,2001-2002,E0,2002-03-06,West Ham,Everton,1.0,0.0,H,0.0,0.0,D,"Knight, B.",16.0,6.0,6.0,2.0,8.0,13.0,0.0,2.0,0.0,0.0,4.0,0.0,1.95,3.2,3.4,0.03981271995977879,0.4730077928607341,0.2726872800402212,0.25430492709904473
5746,2001-2002,E0,2002-03-09,Leicester,Charlton,1.0,1.0,D,1.0,1.0,D,"Wilkes, C. R.",10.0,11.0,5.0,6.0,15.0,16.0,1.0,3.0,0.0,0.0,1.0,4.0,2.7,3.2,2.3,0.03921765968867419,0.33115271068169616,0.2732823403113258,0.39556494900697803
5747,2001-2002,E0,2002-03-13,Blackburn,Ipswich,2.0,1.0,H,2.0,0.0,H,"Dowd, P.",11.0,6.0,7.0,3.0,24.0,17.0,3.0,2.0,0.0,0.0,9.0,8.0,1.73,3.3,4.2,0.03972007440215538,0.5383146076787695,0.2633102286281477,0.1983751636930827
5748,2001-2002,E0,2002-03-13,Chelsea,Tottenham,4.0,0.0,H,1.0,0.0,H,"Wiley, A. G.",24.0,5.0,13.0,0.0,10.0,14.0,1.0,3.0,0.0,1.0,0.0,5.0,1.57,3.6,5.0,0.03824015097900446,0.5987025241802312,0.23953762679877333,0.16175984902099555
5749,2001-2002,E0,2002-03-16,Bolton,Derby,1.0,3.0,A,0.0,1.0,A,"Elleray, D. R.",6.0,3.0,2.0,2.0,13.0,13.0,0.0,0.0,1.0,0.0,3.0,4.0,2.1,3.05,3.2,0.038853109549830865,0.4373373666406453,0.2890157429091856,0.27364689045016916
5750,2001-2002,E0,2002-03-16,Chelsea,Sunderland,4.0,0.0,H,1.0,0.0,H,"Knight, B.",12.0,8.0,7.0,3.0,8.0,13.0,2.0,2.0,0.0,0.0,0.0,7.0,1.43,3.7,6.6,0.040362040362040386,0.658938658938659,0.22990822990822984,0.11115311115311113
5751,2001-2002,E0,2002-03-16,Everton,Fulham,2.0,1.0,H,2.0,0.0,H,"Barber, G. P.",5.0,11.0,2.0,5.0,16.0,15.0,2.0,4.0,1.0,0.0,3.0,3.0,2.32,3.0,2.85,0.038415003024803385,0.39261947973381733,0.29491833030852993,0.31246218995765274
5752,2001-2002,E0,2002-03-16,Middlesbrough,Liverpool,1.0,2.0,A,0.0,1.0,A,"D'Urso, A. P.",15.0,8.0,5.0,7.0,10.0,12.0,0.0,2.0,0.0,0.0,3.0,7.0,3.8,3.2,1.85,0.03873281175912746,0.22442508297771463,0.27376718824087254,0.501807728781413
5753,2001-2002,E0,2002-03-16,Newcastle,Ipswich,2.0,2.0,D,0.0,0.0,D,"Riley, M. A.",20.0,7.0,8.0,4.0,11.0,15.0,1.0,1.0,0.0,0.0,2.0,0.0,1.42,3.8,6.7,0.038878992730933946,0.6653463593817421,0.22427890200590814,0.11037473861234962
